p,true_k,dataset_id,n,B,n_jobs,n_test_ks,model,t_carve_sec,t_carve_per_k_sec,t_external_sec
18,5,19,500,20,10,6,kmeans,9.853630832978524,1.6422718054964207,0.8456805000314489
18,6,19,500,20,10,6,kmeans,9.818268000031821,1.6363780000053036,0.782597417011857
34,3,0,500,20,10,6,kmeans,10.621781583991833,1.7702969306653056,0.8144252500496805
34,4,0,500,20,10,6,kmeans,10.473573417053558,1.7455955695089262,0.8041282919002697
34,5,0,500,20,10,6,kmeans,10.233671042020433,1.7056118403367388,0.8056134160142392
34,6,0,500,20,10,6,kmeans,10.117413916974328,1.6862356528290547,0.8316481249639764
34,3,1,500,20,10,6,kmeans,10.52959649998229,1.7549327499970484,0.8754575829952955
34,4,1,500,20,10,6,kmeans,10.395382208982483,1.7325637014970805,0.7968623329652473
34,5,1,500,20,10,6,kmeans,10.336642749956809,1.722773791659468,0.795102083007805
34,6,1,500,20,10,6,kmeans,10.344512415933423,1.7240854026555705,0.7963257919764146
34,3,2,500,20,10,6,kmeans,10.625688083004206,1.7709480138340343,0.8511960420291871
34,4,2,500,20,10,6,kmeans,10.402210333035327,1.7337017221725546,0.8067122499924153
34,5,2,500,20,10,6,kmeans,10.110943541978486,1.6851572569964144,0.9852007089648396
34,6,2,500,20,10,6,kmeans,10.259730541030876,1.7099550901718128,0.789276875089854
34,3,3,500,20,10,6,kmeans,10.450276332907379,1.7417127221512299,0.8057920830324292
34,4,3,500,20,10,6,kmeans,10.306995416991413,1.7178325694985688,0.7979944170219824
34,5,3,500,20,10,6,kmeans,9.958287165965885,1.6597145276609808,0.7784188340883702
34,6,3,500,20,10,6,kmeans,10.017530041979626,1.6695883403299376,0.8205420420272276
34,3,4,500,20,10,6,kmeans,10.67622008395847,1.7793700139930781,0.8429154589539394
34,4,4,500,20,10,6,kmeans,10.318371708039194,1.7197286180065323,0.8075628750957549
34,5,4,500,20,10,6,kmeans,10.215017665992491,1.7025029443320818,0.7985204999567941
34,6,4,500,20,10,6,kmeans,10.162988999974914,1.693831499995819,0.7780761249596253
34,3,5,500,20,10,6,kmeans,10.676284292014316,1.7793807153357193,0.8776703750481829
34,4,5,500,20,10,6,kmeans,10.52561304194387,1.7542688403239783,0.8331445419462398
34,5,5,500,20,10,6,kmeans,10.255193417076953,1.7091989028461587,0.787632416933775
34,6,5,500,20,10,6,kmeans,10.076371792005375,1.6793952986675624,0.8872979170409963
34,3,6,500,20,10,6,kmeans,10.483061917009763,1.747176986168294,0.805711125023663
34,4,6,500,20,10,6,kmeans,10.23101324995514,1.7051688749925233,0.8233327920315787
34,5,6,500,20,10,6,kmeans,10.152832000050694,1.6921386666751157,0.7844434999860823
34,6,6,500,20,10,6,kmeans,9.957149332971312,1.659524888828552,0.7754699580837041
34,3,7,500,20,10,6,kmeans,10.61837108398322,1.7697285139972034,0.8613977079512551
34,4,7,500,20,10,6,kmeans,10.468392250011675,1.7447320416686125,0.841674332972616
