embed_dim,true_k,dataset_id,n,p,B,n_jobs,n_test_ks,model,t_carve_sec,t_carve_per_k_sec,t_external_sec
174,5,19,500,174,20,10,6,spectral,10.54430679208599,1.7573844653476651,1.3773541250266135
174,6,19,500,174,20,10,6,spectral,11.753008499974385,1.9588347499957308,1.546070082928054
237,3,0,500,237,20,10,6,spectral,10.487689708010294,1.7479482846683823,1.450280582997948
237,4,0,500,237,20,10,6,spectral,10.523693833034486,1.7539489721724142,1.6110870409756899
237,5,0,500,237,20,10,6,spectral,11.06750074995216,1.84458345832536,1.5480223749764264
237,6,0,500,237,20,10,6,spectral,11.178495833068155,1.8630826388446924,1.6184603329747915
237,3,1,500,237,20,10,6,spectral,10.367879166034982,1.7279798610058303,1.5574609589530155
237,4,1,500,237,20,10,6,spectral,10.487904875073582,1.747984145845597,1.45012833410874
237,5,1,500,237,20,10,6,spectral,10.857828249922022,1.8096380416536704,1.5401362919947132
237,6,1,500,237,20,10,6,spectral,11.12587120803073,1.8543118680051218,1.612642916967161
237,3,2,500,237,20,10,6,spectral,10.483295999933034,1.747215999988839,1.4764470419613644
237,4,2,500,237,20,10,6,spectral,10.424852541997097,1.737475423666183,1.7125593750970438
237,5,2,500,237,20,10,6,spectral,12.064661875017919,2.0107769791696533,1.7925734999589622
237,6,2,500,237,20,10,6,spectral,11.821780415950343,1.9702967359917238,1.8109758750069886
237,3,3,500,237,20,10,6,spectral,12.156974792014807,2.0261624653358012,1.7435122500173748
237,4,3,500,237,20,10,6,spectral,10.897611082997173,1.8162685138328623,1.6867817080346867
237,5,3,500,237,20,10,6,spectral,10.963484416948631,1.8272474028247718,1.6263230829499662
237,6,3,500,237,20,10,6,spectral,11.434445374994539,1.9057408958324231,1.6288763750344515
237,3,4,500,237,20,10,6,spectral,10.436795499990694,1.7394659166651156,1.4523297919658944
237,4,4,500,237,20,10,6,spectral,10.610409375047311,1.7684015625078853,1.5151414159918204
237,5,4,500,237,20,10,6,spectral,10.968710249988362,1.8281183749980603,1.5741481248987839
237,6,4,500,237,20,10,6,spectral,11.299796624924056,1.8832994374873426,1.6127529590157792
237,3,5,500,237,20,10,6,spectral,10.349783167010173,1.7249638611683622,1.3889320000307634
237,4,5,500,237,20,10,6,spectral,10.481111958040856,1.7468519930068094,1.4152410411043093
237,5,5,500,237,20,10,6,spectral,10.971704124938697,1.8286173541564494,1.6217143340036273
237,6,5,500,237,20,10,6,spectral,10.874049417092465,1.8123415695154108,1.5068460420006886
237,3,6,500,237,20,10,6,spectral,10.497728707967326,1.7496214513278876,1.4547009589150548
237,4,6,500,237,20,10,6,spectral,10.528789124917239,1.7547981874862064,1.4305445419158787
237,5,6,500,237,20,10,6,spectral,11.654715958051383,1.9424526596752305,1.8135741249425337
237,6,6,500,237,20,10,6,spectral,11.842145415954292,1.9736909026590486,1.591264249989763
237,3,7,500,237,20,10,6,spectral,10.574156459071673,1.7623594098452788,1.4743944590445608
237,4,7,500,237,20,10,6,spectral,10.702042291988619,1.7836737153314364,1.4941454170038924
237,5,7,500,237,20,10,6,spectral,11.187550000031479,1.8645916666719131,1.5524548329412937
237,6,7,500,237,20,10,6,spectral,11.271652583964169,1.878608763994028,1.6329259580234066
237,3,8,500,237,20,10,6,spectral,10.42626737500541,1.7377112291675683,1.4930737919639796
237,4,8,500,237,20,10,6,spectral,10.526217584032565,1.754369597338761,1.5291140000335872
237,5,8,500,237,20,10,6,spectral,11.106092291069217,1.8510153818448696,1.6594529169378802
237,6,8,500,237,20,10,6,spectral,11.425067625008523,1.9041779375014205,1.6210491250967607
237,3,9,500,237,20,10,6,spectral,10.625681250006892,1.7709468750011486,1.5570842499146238
237,4,9,500,237,20,10,6,spectral,10.428828499978408,1.7381380833297346,1.589076125063002
237,5,9,500,237,20,10,6,spectral,11.134694874985144,1.8557824791641906,1.4795208750292659
237,6,9,500,237,20,10,6,spectral,11.106703334022313,1.8511172223370522,1.599705374916084
237,3,10,500,237,20,10,6,spectral,10.495382250053808,1.749230375008968,1.5191213749349117
237,4,10,500,237,20,10,6,spectral,10.82397133402992,1.80399522233832,1.4332928330404684
237,5,10,500,237,20,10,6,spectral,11.118615332990885,1.8531025554984808,1.6269587920978665
237,6,10,500,237,20,10,6,spectral,11.401464834110811,1.9002441390184686,2.2702234589960426
237,3,11,500,237,20,10,6,spectral,11.06595008308068,1.84432501384678,1.4627402080222964
237,4,11,500,237,20,10,6,spectral,10.683288833941333,1.7805481389902222,1.4793717080028728
237,5,11,500,237,20,10,6,spectral,11.195412125089206,1.865902020848201,1.5156317090149969
237,6,11,500,237,20,10,6,spectral,11.173697749967687,1.8622829583279479,1.555791832972318
237,3,12,500,237,20,10,6,spectral,10.33163987507578,1.7219399791792966,1.4256654999917373
237,4,12,500,237,20,10,6,spectral,10.740462874993682,1.7900771458322804,1.6271570830140263
237,5,12,500,237,20,10,6,spectral,11.315041875001043,1.885840312500174,1.6832209579879418
237,6,12,500,237,20,10,6,spectral,11.128355708089657,1.8547259513482761,1.6411385830724612
237,3,13,500,237,20,10,6,spectral,10.649470041971654,1.7749116736619424,1.4589037500554696
237,4,13,500,237,20,10,6,spectral,10.714356082957238,1.7857260138262063,1.378047583042644
237,5,13,500,237,20,10,6,spectral,11.030648084008135,1.8384413473346892,1.6115258330246434
237,6,13,500,237,20,10,6,spectral,11.296262167044915,1.8827103611741525,1.6030357079580426
