"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[strain]"	"Sample Characteristic Ontology Term[strain]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[genotype]"	"Sample Characteristic Ontology Term[genotype]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"
"SRR5530851"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1422"	
"SRR5530852"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1423"	
"SRR5530853"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1424"	
"SRR5530854"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1425"	
"SRR5530855"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1426"	
"SRR5530856"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1427"	
"SRR5530857"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1428"	
"SRR5530858"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1429"	
"SRR5530859"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1430"	
"SRR5530860"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1431"	
"SRR5530861"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1432"	
"SRR5530862"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1433"	
"SRR5530863"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1434"	
"SRR5530864"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1435"	
"SRR5530865"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1436"	
"SRR5530866"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1437"	
"SRR5530867"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1438"	
"SRR5530868"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1439"	
"SRR5530869"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1440"	
"SRR5530870"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1441"	
"SRR5530871"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1442"	
"SRR5530872"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1443"	
"SRR5530873"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1444"	
"SRR5530874"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 1445"	
"SRR5530875"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1446"	
"SRR5530876"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1447"	
"SRR5530877"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1448"	
"SRR5530878"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1449"	
"SRR5530879"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1450"	
"SRR5530880"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1451"	
"SRR5530881"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1452"	
"SRR5530882"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1453"	
"SRR5530883"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1454"	
"SRR5530884"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1455"	
"SRR5530885"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1456"	
"SRR5530886"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1457"	
"SRR5530887"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1458"	
"SRR5530888"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1459"	
"SRR5530889"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1460"	
"SRR5530890"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1461"	
"SRR5530891"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1462"	
"SRR5530892"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1463"	
"SRR5530893"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1464"	
"SRR5530894"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1465"	
"SRR5530895"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1466"	
"SRR5530896"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1467"	
"SRR5530897"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1468"	
"SRR5530898"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1469"	
"SRR5530899"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1470"	
"SRR5530900"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1471"	
"SRR5530901"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1472"	
"SRR5530902"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1473"	
"SRR5530903"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1474"	
"SRR5530904"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1475"	
"SRR5530905"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1476"	
"SRR5530906"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1477"	
"SRR5530907"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1478"	
"SRR5530908"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1479"	
"SRR5530909"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1480"	
"SRR5530910"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1481"	
"SRR5530911"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1482"	
"SRR5530912"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1483"	
"SRR5530913"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1484"	
"SRR5530914"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1485"	
"SRR5530915"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1486"	
"SRR5530916"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1487"	
"SRR5530917"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1488"	
"SRR5530918"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1489"	
"SRR5530919"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1490"	
"SRR5530920"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1491"	
"SRR5530921"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1492"	
"SRR5530922"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1493"	
"SRR5530923"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1494"	
"SRR5530924"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1495"	
"SRR5530925"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1496"	
"SRR5530926"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1497"	
"SRR5530927"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1498"	
"SRR5530928"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1499"	
"SRR5530929"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1500"	
"SRR5530930"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 1501"	
