axis_name,axis_value,stage,dataset_iteration,true_k,n,p,B,n_jobs,n_test_ks,estimator,t_carve_sec_s,t_carve_sec_g,t_carve_per_k_sec_s,t_carve_per_k_sec_g
n_total,5500,middle,9,5,5500,50,20,10,5,kmeans,15.878014833899215,87.74242708296515,3.175602966779843,17.54848541659303
n_total,5500,middle,10,5,5500,50,20,10,5,kmeans,15.998161166906357,87.94297133409418,3.1996322333812715,17.588594266818838
n_total,5500,middle,11,5,5500,50,20,10,5,kmeans,14.034474834101275,85.18588804197498,2.8068949668202547,17.037177608394995
n_total,5500,middle,12,5,5500,50,20,10,5,kmeans,12.78207837510854,84.51744641619734,2.556415675021708,16.90348928323947
n_total,5500,middle,13,5,5500,50,20,10,5,kmeans,16.6450309578795,89.27720320899971,3.3290061915758997,17.85544064179994
n_total,5500,middle,14,5,5500,50,20,10,5,kmeans,13.618043833877891,84.67812837497331,2.723608766775578,16.93562567499466
n_total,5500,middle,15,5,5500,50,20,10,5,kmeans,13.933942874893546,84.7248187919613,2.786788574978709,16.94496375839226
n_total,5500,middle,16,5,5500,50,20,10,5,kmeans,15.849349916912615,87.86223479104228,3.1698699833825232,17.572446958208456
n_total,5500,middle,17,5,5500,50,20,10,5,kmeans,13.937823291867971,85.24090750003234,2.7875646583735945,17.048181500006468
n_total,5500,middle,18,5,5500,50,20,10,5,kmeans,13.506632500095293,85.31672895792872,2.7013265000190585,17.063345791585743
n_total,5500,middle,19,5,5500,50,20,10,5,kmeans,17.279264291981235,88.53268579184078,3.455852858396247,17.706537158368157
n_total,10000,end,0,5,10000,50,20,10,5,kmeans,41.58749979082495,171.00632279203273,8.31749995816499,34.20126455840655
n_total,10000,end,1,5,10000,50,20,10,5,kmeans,38.06627841689624,171.18963320809416,7.613255683379248,34.237926641618834
n_total,10000,end,2,5,10000,50,20,10,5,kmeans,43.91019504121505,173.9062977079302,8.782039008243009,34.78125954158604
n_total,10000,end,3,5,10000,50,20,10,5,kmeans,42.779487249907106,174.50057433382608,8.55589744998142,34.900114866765215
n_total,10000,end,4,5,10000,50,20,10,5,kmeans,35.95681458385661,168.75016866717488,7.191362916771323,33.750033733434975
n_total,10000,end,5,5,10000,50,20,10,5,kmeans,44.72807787498459,184.61571770813316,8.945615574996918,36.92314354162663
n_total,10000,end,6,5,10000,50,20,10,5,kmeans,42.96863037487492,174.3717854169663,8.593726074974985,34.874357083393264
n_total,10000,end,7,5,10000,50,20,10,5,kmeans,42.96637429203838,172.58969999989495,8.593274858407677,34.51793999997899
n_total,10000,end,8,5,10000,50,20,10,5,kmeans,40.99781387485564,187.09631829196587,8.199562774971128,37.41926365839318
