axis_name,axis_value,stage,baseline_ari,dataset_iteration,true_k,metric_name,k,metric_value,is_optimal,is_correct,metric_ari
p,50,start,0.7454307059339913,1,5,ari_stability_quant,4,0.7787356587613113,False,False,0.7231540812561857
p,50,start,0.7454307059339913,1,5,ari_stability_quant,5,0.6072879483795175,False,True,0.7256889257265543
p,50,start,0.7454307059339913,1,5,ari_stability_quant,6,0.5923592373054748,True,False,0.7903266240915773
p,50,start,0.7454307059339913,1,5,ari_stability_quant,7,0.5541880143788558,False,False,0.5694731025073572
p,50,start,0.7454307059339913,1,5,consensus_ce_stability,3,0.7047764801691723,False,False,0.6291573751535182
p,50,start,0.7454307059339913,1,5,consensus_ce_stability,4,0.7939583153564272,True,False,0.7231540812561857
p,50,start,0.7454307059339913,1,5,consensus_ce_stability,5,0.7122271266564271,False,True,0.7256889257265543
p,50,start,0.7454307059339913,1,5,consensus_ce_stability,6,0.7544524606021665,False,False,0.7903266240915773
p,50,start,0.7454307059339913,1,5,consensus_ce_stability,7,0.7606378991712499,False,False,0.5694731025073572
p,50,start,0.7454307059339913,1,5,consensus_gini_stability,3,0.7364509831638661,False,False,0.6291573751535182
p,50,start,0.7454307059339913,1,5,consensus_gini_stability,4,0.8243818107015904,True,False,0.7231540812561857
p,50,start,0.7454307059339913,1,5,consensus_gini_stability,5,0.7416673211702649,False,True,0.7256889257265543
p,50,start,0.7454307059339913,1,5,consensus_gini_stability,6,0.7761154277090294,False,False,0.7903266240915773
p,50,start,0.7454307059339913,1,5,consensus_gini_stability,7,0.7851954076827352,False,False,0.5694731025073572
p,50,start,0.7454307059339913,1,5,consensus_pac_stability,3,0.6074574160551478,False,False,0.6291573751535182
p,50,start,0.7454307059339913,1,5,consensus_pac_stability,4,0.7160880587058038,True,False,0.7231540812561857
p,50,start,0.7454307059339913,1,5,consensus_pac_stability,5,0.6265394707582833,False,True,0.7256889257265543
p,50,start,0.7454307059339913,1,5,consensus_pac_stability,6,0.695756281965755,False,False,0.7903266240915773
p,50,start,0.7454307059339913,1,5,consensus_pac_stability,7,0.691350678229931,False,False,0.5694731025073572
p,50,start,0.7454307059339913,1,5,silhouette,3,0.054632012061879585,False,False,0.6175629756864949
p,50,start,0.7454307059339913,1,5,silhouette,4,0.056050850747928434,True,False,0.7278368289576772
p,50,start,0.7454307059339913,1,5,silhouette,5,0.05463659575409918,False,True,0.7454307059339913
p,50,start,0.7454307059339913,1,5,silhouette,6,0.04516111519308807,False,False,0.5637051572512983
p,50,start,0.7454307059339913,1,5,silhouette,7,0.04294153302089446,False,False,0.487398615601205
p,50,start,0.7454307059339913,1,5,gap,3,1.385402601701541,False,False,0.6175629756864949
p,50,start,0.7454307059339913,1,5,gap,4,1.400875322734981,False,False,0.7278368289576772
p,50,start,0.7454307059339913,1,5,gap,5,1.4124803729157733,False,True,0.7454307059339913
p,50,start,0.7454307059339913,1,5,gap,6,1.4222230440784767,False,False,0.5637051572512983
