axis_name,axis_value,stage,dataset_iteration,true_k,n,p,B,n_jobs,n_test_ks,estimator,t_carve_sec_s,t_carve_sec_g,t_carve_per_k_sec_s,t_carve_per_k_sec_g
p,1000,end,2,5,1500,1000,20,10,5,kmeans,64.29419670789503,100.23811270808801,12.858839341579005,20.047622541617603
p,1000,end,3,5,1500,1000,20,10,5,kmeans,71.17798525001854,104.52522916696034,14.235597050003708,20.90504583339207
p,1000,end,4,5,1500,1000,20,10,5,kmeans,80.20438074995764,104.34477470908314,16.040876149991526,20.86895494181663
p,1000,end,5,5,1500,1000,20,10,5,kmeans,61.09854391706176,105.4341347089503,12.219708783412353,21.086826941790058
p,1000,end,6,5,1500,1000,20,10,5,kmeans,67.28218416590244,106.92156533314846,13.456436833180486,21.384313066629694
p,1000,end,7,5,1500,1000,20,10,5,kmeans,68.00109758297913,105.32075950014405,13.600219516595825,21.06415190002881
p,1000,end,8,5,1500,1000,20,10,5,kmeans,78.66791904205456,109.15349708287977,15.733583808410913,21.830699416575953
p,1000,end,9,5,1500,1000,20,10,5,kmeans,72.44094158383086,103.10403275000863,14.488188316766173,20.620806550001724
p,1000,end,10,5,1500,1000,20,10,5,kmeans,71.8110511249397,103.71919066715054,14.362210224987939,20.74383813343011
p,1000,end,11,5,1500,1000,20,10,5,kmeans,68.84160812501796,101.28440845804289,13.76832162500359,20.256881691608577
